"ticker","entity","concept","fy","fp","form","start","end","days","val","filed","accn","frame"
"HD","The Home Depot, Inc.","OperatingExpenses","2023","Q2","10-Q","2023-05-01","2023-07-30","90","7568000000","2023-08-22","0000354950-23-000185",""
"HD","The Home Depot, Inc.","OperatingExpenses","2024","Q2","10-Q","2023-05-01","2023-07-30","90","7568000000","2024-08-20","0000354950-24-000201","CY2023Q2"
"HD","The Home Depot, Inc.","OperatingExpenses","2023","Q3","10-Q","2023-01-30","2023-10-29","272","21906000000","2023-11-21","0000354950-23-000240",""
"HD","The Home Depot, Inc.","OperatingExpenses","2024","Q3","10-Q","2023-01-30","2023-10-29","272","21906000000","2024-11-19","0000354950-24-000240",""
"HD","The Home Depot, Inc.","OperatingExpenses","2023","Q3","10-Q","2023-07-31","2023-10-29","90","7332000000","2023-11-21","0000354950-23-000240",""
"HD","The Home Depot, Inc.","OperatingExpenses","2024","Q3","10-Q","2023-07-31","2023-10-29","90","7332000000","2024-11-19","0000354950-24-000240","CY2023Q3"
"HD","The Home Depot, Inc.","OperatingExpenses","2023","FY","10-K","2023-01-30","2024-01-28","363","29271000000","2024-03-13","0000354950-24-000062",""
"HD","The Home Depot, Inc.","OperatingExpenses","2024","FY","10-K","2023-01-30","2024-01-28","363","29271000000","2025-03-21","0000354950-25-000085",""
"HD","The Home Depot, Inc.","OperatingExpenses","2025","FY","10-K","2023-01-30","2024-01-28","363","29271000000","2026-03-18","0001628280-26-019436","CY2023"
"HD","The Home Depot, Inc.","OperatingExpenses","2024","Q1","10-Q","2024-01-29","2024-04-28","90","7354000000","2024-05-21","0000354950-24-000152",""
"HD","The Home Depot, Inc.","OperatingExpenses","2025","Q1","10-Q","2024-01-29","2024-04-28","90","7354000000","2025-05-28","0000354950-25-000165","CY2024Q1"
"HD","The Home Depot, Inc.","OperatingExpenses","2024","Q2","10-Q","2024-01-29","2024-07-28","181","15236000000","2024-08-20","0000354950-24-000201",""
"HD","The Home Depot, Inc.","OperatingExpenses","2025","Q2","10-Q","2024-01-29","2024-07-28","181","15236000000","2025-08-26","0000354950-25-000217",""
